Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
14,Ryan Arcidiacono\arcidry01,PG,29,NYK,16,0,36,0,5,0.0,0,5,0.0,0,0,,0.0,0,0,,0,7,7,4,1,0,0,4,0
15,Deni Avdija\avdijde01,SF,23,WAS,42,42,1146,192,386,0.497,39,112,0.348,153,274,0.558,0.548,90,119,0.756,43,216,259,163,38,16,73,104,513
16,Deandre Ayton\aytonde01,C,25,POR,26,26,813,152,283,0.537,0,0,,152,283,0.537,0.537,28,36,0.778,85,185,270,39,28,18,52,63,332
17,Udoka Azubuike\azubuud01,C,24,PHO,11,0,91,15,19,0.789,0,0,,15,19,0.789,0.789,3,9,0.333,9,16,25,3,0,6,4,16,33
18,Ibou Badji\badjiib01,C,21,POR,12,1,163,9,15,0.6,0,0,,9,15,0.6,0.6,3,6,0.5,18,26,44,8,2,17,9,32,21
19,Marvin Bagley III\baglema01,C-PF,24,TOT,29,12,570,130,225,0.578,2,9,0.222,128,216,0.593,0.582,58,74,0.784,64,84,148,32,8,17,34,51,320
19,Marvin Bagley III\baglema01,C,24,DET,26,10,478,107,181,0.591,1,6,0.167,106,175,0.606,0.594,50,61,0.82,46,72,118,27,5,14,29,40,265
19,Marvin Bagley III\baglema01,PF,24,WAS,3,2,92,23,44,0.523,1,3,0.333,22,41,0.537,0.534,8,13,0.615,18,12,30,5,3,3,5,11,55
20,Amari Bailey\baileam01,PG,19,CHO,2,0,11,2,6,0.333,0,2,0.0,2,4,0.5,0.333,1,2,0.5,2,0,2,0,0,0,1,0,5
21,Patrick Baldwin Jr.\baldwpa01,SF,21,WAS,13,0,102,13,30,0.433,8,16,0.5,5,14,0.357,0.567,7,10,0.7,5,23,28,6,1,3,5,17,41
22,LaMelo Ball\ballla01,PG,22,CHO,19,19,621,164,368,0.446,66,174,0.379,98,194,0.505,0.535,82,94,0.872,26,75,101,148,34,4,75,68,476
23,Mo Bamba\bambamo01,C,25,PHI,24,0,215,39,71,0.549,10,18,0.556,29,53,0.547,0.62,14,21,0.667,33,40,73,13,10,19,15,29,102
24,Paolo Banchero\banchpa01,PF,21,ORL,43,43,1501,347,770,0.451,61,171,0.357,286,599,0.477,0.49,218,311,0.701,52,255,307,207,44,26,137,90,973
25,Desmond Bane\banede01,SG,25,MEM,37,37,1277,330,696,0.474,123,320,0.384,207,376,0.551,0.563,121,140,0.864,34,135,169,196,38,20,99,106,904
26,Dalano Banton\bantoda01,PG,24,BOS,20,1,144,18,42,0.429,2,12,0.167,16,30,0.533,0.452,14,18,0.778,12,21,33,11,4,3,9,19,52
