Rk,Player,Age,Tm,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
34,Brandon Ingram\ingrabr01,27,NOP,SF,18,18,33.1,8.6,18.5,0.465,2.4,6.4,0.374,6.2,12.1,0.514,0.53,2.6,3.1,0.855,0.9,4.6,5.6,5.2,0.9,0.6,3.8,2.5,22.2
35,Jaren Jackson Jr.\jacksja02,25,MEM,C,74,74,29.8,8.0,16.4,0.488,2.0,5.3,0.375,6.0,11.1,0.541,0.548,4.2,5.4,0.781,1.2,4.4,5.6,2.0,1.2,1.5,2.1,3.5,22.2
36,Norman Powell\powelno01,31,LAC,SG,60,60,32.6,7.6,15.8,0.484,3.0,7.1,0.418,4.6,8.6,0.538,0.578,3.6,4.4,0.804,0.4,2.8,3.2,2.1,1.2,0.2,1.8,1.9,21.8
37,Jalen Williams\willija06,23,OKC,SG,69,69,32.4,8.2,16.9,0.484,1.8,4.9,0.365,6.4,12.0,0.533,0.537,3.4,4.3,0.789,0.9,4.5,5.3,5.1,1.6,0.7,2.2,2.3,21.6
38,Kawhi Leonard\leonaka01,33,LAC,SF,37,37,31.9,8.4,16.8,0.498,2.1,5.1,0.411,6.3,11.7,0.536,0.56,2.6,3.3,0.81,0.9,5.0,5.9,3.1,1.6,0.5,1.9,1.5,21.5
39,Jamal Murray\murraja01,27,DEN,PG,67,67,36.1,7.9,16.7,0.474,2.3,5.9,0.393,5.6,10.8,0.518,0.543,3.3,3.7,0.886,0.7,3.2,3.9,6.0,1.4,0.5,2.1,1.9,21.4
40,Trey Murphy III\murphtr02,24,NOP,SF,53,51,35.0,7.2,15.8,0.454,3.0,8.3,0.361,4.2,7.6,0.556,0.548,3.8,4.3,0.887,0.9,4.2,5.1,3.5,1.1,0.7,1.9,2.1,21.2
41,RJ Barrett\barrerj01,24,TOR,SF,58,58,32.2,7.9,16.9,0.468,1.8,5.3,0.35,6.1,11.7,0.522,0.523,3.4,5.4,0.63,1.1,5.3,6.3,5.4,0.8,0.3,2.8,2.4,21.1
42,CJ McCollum\mccolcj01,33,NOP,PG,56,56,32.7,7.9,17.9,0.444,3.1,8.2,0.373,4.9,9.7,0.505,0.53,2.2,3.1,0.717,0.8,3.0,3.8,4.1,0.8,0.4,1.9,2.2,21.1
43,Jalen Green\greenja05,22,HOU,SG,82,82,32.9,7.4,17.5,0.423,2.9,8.1,0.354,4.6,9.5,0.482,0.505,3.3,4.1,0.813,0.5,4.0,4.6,3.4,0.9,0.3,2.5,1.5,21.0
44,Brandon Miller\millebr02,22,CHO,SF,27,27,34.2,7.3,18.2,0.403,3.9,10.9,0.355,3.5,7.3,0.475,0.509,2.5,2.9,0.861,0.9,3.9,4.9,3.6,1.1,0.7,2.8,2.7,21.0
