Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
228,LeBron James\jamesle01,PF,39,LAL,40,40,34.3,9.3,17.8,0.52,2.2,5.5,0.391,7.1,12.3,0.577,0.58,4.1,5.6,0.74,0.9,6.3,7.2,7.4,1.3,0.6,3.4,1.1,24.8
229,Jaime Jaquez Jr.\jaqueja01,SF,22,MIA,39,15,30.2,5.4,10.6,0.513,1.1,3.0,0.353,4.4,7.6,0.576,0.563,2.1,2.5,0.837,1.3,2.6,3.9,2.7,1.1,0.3,1.7,2.5,14.0
230,DaQuan Jeffries\jeffrda01,SG,26,NYK,10,0,3.0,0.5,1.2,0.417,0.1,0.5,0.2,0.4,0.7,0.571,0.458,0.0,0.2,0.0,0.0,0.5,0.5,0.2,0.0,0.0,0.1,0.2,1.1
231,Ty Jerome\jeromty01,SG,26,CLE,2,0,7.5,1.0,2.0,0.5,0.0,0.5,0.0,1.0,1.5,0.667,0.5,0.0,0.0,,0.5,0.0,0.5,1.5,0.0,0.0,0.5,1.0,2.0
232,Isaiah Joe\joeis01,SG,24,OKC,42,0,19.3,3.0,6.7,0.454,2.1,5.0,0.425,0.9,1.7,0.543,0.613,0.7,0.9,0.833,0.4,2.1,2.5,1.2,0.7,0.3,0.6,1.2,9.0
233,Cameron Johnson\johnsca02,PF,27,BRK,34,34,28.6,5.1,11.4,0.451,2.4,6.2,0.392,2.7,5.2,0.523,0.558,1.1,1.6,0.709,1.1,3.5,4.6,2.6,0.8,0.2,0.9,1.9,13.9
234,Jalen Johnson\johnsja05,SF,22,ATL,28,25,32.1,6.0,10.7,0.562,1.1,3.0,0.386,4.9,7.7,0.63,0.615,1.9,2.5,0.757,1.2,7.1,8.3,3.1,1.3,0.8,2.2,2.4,15.0
235,James Johnson\johnsja01,PF,36,IND,5,0,4.8,0.4,1.0,0.4,0.0,0.2,0.0,0.4,0.8,0.5,0.4,0.0,0.0,,0.2,0.6,0.8,1.0,0.8,0.0,0.4,0.8,0.8
236,Keldon Johnson\johnske04,SF,24,SAS,40,26,31.3,6.1,13.6,0.451,1.9,5.5,0.349,4.2,8.1,0.52,0.521,3.0,3.9,0.779,1.3,4.6,5.9,3.5,0.8,0.2,1.7,2.5,17.2
237,Keon Johnson\johnske07,SG,21,BRK,1,0,21.0,3.0,8.0,0.375,2.0,4.0,0.5,1.0,4.0,0.25,0.5,4.0,4.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.0
