Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
475,P.J. Tucker\tuckepj01,PF,38,LAC,12,173,5.7,0.457,0.786,0.214,10.2,9.0,9.6,5.3,1.7,0.5,11.5,4.4,,0.2,0.2,0.3,0.089,,-4.0,0.9,-3.1,0.0
476,Myles Turner\turnemy01,C,27,IND,42,1153,19.6,0.632,0.343,0.365,7.3,22.6,14.9,6.3,0.9,5.6,9.6,22.9,,2.2,1.0,3.2,0.134,,1.0,-0.4,0.6,0.8
477,Hunter Tyson\tysonhu01,PF,23,DEN,8,20,-1.3,0.25,0.75,0.0,0.0,27.3,14.0,5.7,0.0,0.0,0.0,8.7,,0.0,0.0,0.0,-0.027,,-10.6,-1.3,-11.9,0.0
478,Stanley Umude\umudest01,SG,24,DET,15,155,13.4,0.693,0.614,0.523,2.1,18.6,10.1,6.9,1.2,2.6,15.6,17.4,,0.2,0.1,0.3,0.098,,-0.4,0.2,-0.2,0.1
479,Jonas Valančiūnas\valanjo01,C,31,NOP,43,1141,20.5,0.641,0.186,0.315,10.8,29.0,20.0,12.7,0.9,4.3,11.7,19.9,,2.7,1.9,4.6,0.195,,1.4,0.8,2.2,1.2
480,Jarred Vanderbilt\vandeja01,PF,24,LAL,23,439,8.5,0.51,0.306,0.264,7.6,18.2,13.1,6.8,2.2,0.6,17.5,9.6,,0.0,0.6,0.6,0.062,,-4.3,0.8,-3.4,-0.2
481,Fred VanVleet\vanvlfr01,PG,29,HOU,40,1481,16.5,0.559,0.565,0.228,1.2,9.7,5.5,33.2,1.3,2.0,9.4,19.8,,2.8,1.7,4.5,0.147,,2.8,0.6,3.4,2.0
482,Devin Vassell\vassede01,SG,23,SAS,37,1139,15.3,0.574,0.478,0.199,1.3,11.0,6.0,16.4,1.9,0.5,7.9,22.9,,0.8,0.7,1.5,0.062,,0.4,-1.0,-0.6,0.4
483,Sasha Vezenkov\vezenal01,PF,28,SAC,32,412,13.3,0.565,0.604,0.065,7.7,15.1,11.3,4.7,1.8,1.5,6.5,17.4,,0.3,0.4,0.7,0.086,,-0.3,-1.1,-1.4,0.1
484,Gabe Vincent\vincega01,PG,27,LAL,5,127,6.0,0.411,0.531,0.063,1.8,2.5,2.2,15.0,2.3,0.0,5.7,11.8,,-0.1,0.1,0.0,0.017,,-5.7,1.5,-4.2,-0.1
